date,max_rainfall_mm,peak_latitude,peak_longitude,valid_grid_cells,heavy_cells,very_heavy_cells,extreme_cells,mean_rainfall_mm,event_area_ratio,event_category
2015-08-19,679.2213134765625,25.25,91.25,4964,60,19,11,8.19250202178955,0.012087026591458501,EXTREME
2015-06-08,600.5465087890625,25.25,91.25,4964,76,18,9,5.123401165008545,0.015310233682514102,EXTREME
2015-06-25,531.925048828125,21.5,70.75,4964,160,46,8,13.089824676513672,0.032232070910556,EXTREME
2015-06-10,474.5743103027344,25.25,91.5,4964,129,41,10,6.005060195922852,0.025987107171635777,EXTREME
2015-06-01,473.43218994140625,25.25,91.5,4964,79,31,8,5.694643497467041,0.015914585012087028,EXTREME
2015-08-18,471.8529052734375,25.25,91.25,4964,104,37,9,10.132742881774902,0.020950846091861403,EXTREME
2015-06-06,465.3493347167969,25.25,91.25,4964,56,19,10,5.657739639282227,0.011281224818694601,EXTREME
2015-07-28,426.5783386230469,24.5,72.0,4964,300,155,57,13.98228645324707,0.060435132957292505,EXTREME
2015-06-09,407.0118103027344,25.25,91.5,4964,49,11,8,5.133546829223633,0.009871071716357776,EXTREME
2015-12-02,399.8245849609375,12.25,79.75,4964,39,26,13,2.465325355529785,0.007856567284448026,EXTREME
2015-09-23,396.70599365234375,25.25,91.25,4964,131,45,10,8.905935287475586,0.02639000805801773,EXTREME
2015-07-29,378.90673828125,24.5,72.75,4964,214,92,32,9.969688415527344,0.04311039484286865,EXTREME
2015-06-07,368.58203125,25.25,91.25,4964,80,39,12,4.173516750335693,0.016116035455278,EXTREME
2015-08-31,361.489990234375,25.25,91.25,4964,150,31,8,7.739688396453857,0.030217566478646252,EXTREME
2015-08-16,353.7885437011719,25.25,91.25,4964,57,12,8,10.398822784423828,0.011482675261885577,EXTREME
2015-07-19,352.5901794433594,23.75,77.0,4964,109,36,9,8.532090187072754,0.021958098307816278,EXTREME
2015-07-26,334.4832763671875,23.75,75.0,4964,212,68,17,13.054893493652344,0.0427074939564867,EXTREME
2015-08-20,329.96099853515625,25.25,91.25,4964,142,48,18,8.77712345123291,0.028605962933118453,EXTREME
2015-11-10,327.3019714355469,11.5,79.5,4964,121,56,5,4.166177272796631,0.024375503626107978,EXTREME
2015-11-16,316.61993408203125,13.25,80.0,4964,72,41,18,3.0978944301605225,0.014504431909750202,EXTREME
2015-07-11,302.2781677246094,22.75,84.5,4964,149,26,2,12.252889633178711,0.030016116035455277,EXTREME
2015-06-22,292.21405029296875,18.0,73.5,4964,244,53,6,13.150416374206543,0.04915390813859791,EXTREME
2015-07-27,290.5560607910156,24.75,72.25,4964,185,54,9,11.079479217529297,0.03726833199033038,EXTREME
2015-08-21,290.3908386230469,25.25,91.25,4964,116,47,18,7.53029727935791,0.023368251410153102,EXTREME
2015-07-20,283.277099609375,22.75,77.0,4964,172,47,15,10.850587844848633,0.0346494762288477,EXTREME
2015-11-17,276.8761901855469,14.25,79.5,4964,62,30,6,2.867879629135132,0.01248992747784045,EXTREME
2015-07-16,273.1058044433594,24.0,83.75,4964,100,18,1,7.95656156539917,0.020145044319097503,EXTREME
2015-11-13,265.74664306640625,12.75,79.5,4964,14,6,1,1.7903894186019897,0.0028203062046736503,EXTREME
2015-08-05,259.11737060546875,21.75,76.25,4964,208,110,11,10.321744918823242,0.041901692183722805,EXTREME
2015-07-24,240.85128784179688,25.25,91.5,4964,119,17,7,11.799698829650879,0.023972602739726026,EXTREME
2015-07-10,239.9053497314453,23.0,88.5,4964,197,49,6,13.503125190734863,0.03968573730862208,EXTREME
2015-08-12,231.833984375,32.25,76.25,4964,47,1,1,9.301193237304688,0.009468170829975826,EXTREME
2015-06-19,221.85443115234375,19.0,72.75,4964,66,13,2,6.7555084228515625,0.01329572925060435,EXTREME
2015-08-30,220.6914520263672,25.25,91.25,4964,176,65,4,8.360028266906738,0.035455278001611606,EXTREME
2015-09-16,219.82791137695312,19.5,82.5,4964,104,39,3,7.499886512756348,0.020950846091861403,EXTREME
2015-06-14,218.83604431152344,21.0,83.25,4964,62,7,1,9.030280113220215,0.01248992747784045,EXTREME
2015-07-25,218.1550750732422,24.25,76.75,4964,166,49,2,11.199913024902344,0.033440773569701855,EXTREME
2015-06-24,218.07781982421875,25.25,91.25,4964,141,48,4,9.845584869384766,0.028404512489927477,EXTREME
2015-06-21,217.8412322998047,17.25,73.25,4964,256,95,3,10.932395935058594,0.0515713134568896,EXTREME
2015-07-17,216.0755615234375,31.25,76.75,4964,59,6,1,6.546841144561768,0.011885576148267527,EXTREME
2015-08-03,214.04415893554688,22.25,84.0,4964,81,19,1,7.407864093780518,0.016317485898468976,EXTREME
2015-07-04,212.47410583496094,25.25,91.25,4964,38,12,1,3.752716064453125,0.007655116841257051,EXTREME
2015-11-11,211.13729858398438,14.5,79.5,4964,29,9,1,1.6555521488189697,0.0058420628525382755,EXTREME
2015-08-04,205.01751708984375,22.5,78.25,4964,100,21,1,8.033348083496094,0.020145044319097503,EXTREME
2015-07-15,203.20620727539062,27.0,93.25,4964,114,21,0,6.88854455947876,0.022965350523771154,VERY_HEAVY
2015-09-20,201.37545776367188,25.25,91.25,4964,90,16,0,8.00660228729248,0.01813053988718775,VERY_HEAVY
2015-07-21,199.98941040039062,19.5,73.0,4964,68,20,0,8.587488174438477,0.0136986301369863,VERY_HEAVY
2015-06-20,193.66932678222656,17.75,73.0,4964,163,49,0,8.173434257507324,0.03283642224012893,VERY_HEAVY
2015-06-23,191.6174774169922,23.0,80.75,4964,147,22,0,10.511468887329102,0.02961321514907333,VERY_HEAVY
2015-09-15,188.58804321289062,18.5,82.5,4964,77,22,0,6.3600287437438965,0.015511684125705076,VERY_HEAVY
2015-08-17,187.50723266601562,25.25,91.25,4964,84,15,0,8.50677490234375,0.016921837228041903,VERY_HEAVY
2015-11-09,187.0528564453125,11.25,79.5,4964,39,18,0,1.499290108680725,0.007856567284448026,VERY_HEAVY
2015-09-19,182.3771209716797,20.75,73.5,4964,77,18,0,5.581355094909668,0.015511684125705076,VERY_HEAVY
2015-07-22,182.12786865234375,16.5,81.75,4964,62,16,0,8.425992012023926,0.01248992747784045,VERY_HEAVY
2015-07-12,180.08331298828125,26.25,78.0,4964,80,14,0,7.523587226867676,0.016116035455278,VERY_HEAVY
2015-09-17,175.08978271484375,20.25,81.25,4964,123,11,0,6.588769435882568,0.024778404512489926,VERY_HEAVY
2015-08-01,171.043701171875,22.75,88.25,4964,135,19,0,8.336983680725098,0.02719580983078163,VERY_HEAVY
