event_id,year,start_date,end_date,duration_days,peak_date,peak_rainfall_mm,peak_latitude,peak_longitude,peak_heavy_cells,peak_very_heavy_cells,peak_extreme_cells
RG2015-000,2015,2015-06-01,2015-06-01,1,2015-06-01,473.4321899414063,25.25,91.5,79,31,8
RG2015-001,2015,2015-06-06,2015-06-11,6,2015-06-08,600.5465087890625,25.25,91.25,129,41,12
RG2015-002,2015,2015-06-14,2015-06-14,1,2015-06-14,218.83604431152344,21.0,83.25,62,7,1
RG2015-003,2015,2015-06-19,2015-06-26,8,2015-06-25,531.925048828125,21.5,70.75,256,95,8
RG2015-004,2015,2015-06-28,2015-06-28,1,2015-06-28,147.8918914794922,24.75,84.25,77,11,0
RG2015-005,2015,2015-07-04,2015-07-04,1,2015-07-04,212.4741058349609,25.25,91.25,38,12,1
RG2015-006,2015,2015-07-10,2015-07-12,3,2015-07-11,302.2781677246094,22.75,84.5,197,49,6
RG2015-007,2015,2015-07-15,2015-07-17,3,2015-07-16,273.1058044433594,24.0,83.75,114,21,1
RG2015-008,2015,2015-07-19,2015-07-22,4,2015-07-19,352.5901794433594,23.75,77.0,172,47,15
RG2015-009,2015,2015-07-24,2015-07-29,6,2015-07-28,426.5783386230469,24.5,72.0,300,155,57
RG2015-010,2015,2015-08-01,2015-08-01,1,2015-08-01,171.043701171875,22.75,88.25,135,19,0
RG2015-011,2015,2015-08-03,2015-08-05,3,2015-08-05,259.11737060546875,21.75,76.25,208,110,11
RG2015-012,2015,2015-08-12,2015-08-12,1,2015-08-12,231.833984375,32.25,76.25,47,1,1
RG2015-013,2015,2015-08-16,2015-08-21,6,2015-08-19,679.2213134765625,25.25,91.25,142,48,18
RG2015-014,2015,2015-08-30,2015-08-31,2,2015-08-31,361.489990234375,25.25,91.25,176,65,8
RG2015-015,2015,2015-09-15,2015-09-21,7,2015-09-16,219.82791137695312,19.5,82.5,136,39,3
RG2015-016,2015,2015-09-23,2015-09-23,1,2015-09-23,396.70599365234375,25.25,91.25,131,45,10
RG2015-017,2015,2015-11-09,2015-11-11,3,2015-11-10,327.3019714355469,11.5,79.5,121,56,5
RG2015-018,2015,2015-11-13,2015-11-13,1,2015-11-13,265.74664306640625,12.75,79.5,14,6,1
RG2015-019,2015,2015-11-16,2015-11-17,2,2015-11-16,316.61993408203125,13.25,80.0,72,41,18
RG2015-020,2015,2015-12-02,2015-12-02,1,2015-12-02,399.8245849609375,12.25,79.75,39,26,13
RG2018-021,2018,2018-05-24,2018-05-25,2,2018-05-25,230.13278198242188,25.25,91.25,41,13,2
RG2018-022,2018,2018-05-30,2018-05-30,1,2018-05-30,277.6764221191406,13.0,74.75,26,7,2
RG2018-023,2018,2018-06-08,2018-06-15,8,2018-06-10,261.1669616699219,17.0,73.25,111,30,3
RG2018-024,2018,2018-06-20,2018-06-21,2,2018-06-21,332.8304748535156,16.5,73.25,41,13,4
RG2018-025,2018,2018-06-23,2018-06-26,4,2018-06-24,298.4367980957031,25.25,91.25,165,49,8
RG2018-026,2018,2018-06-28,2018-06-28,1,2018-06-28,244.38385009765625,13.5,75.0,105,18,1
RG2018-027,2018,2018-07-01,2018-07-18,18,2018-07-17,403.1428527832031,20.75,71.0,222,57,7
RG2018-028,2018,2018-07-21,2018-07-22,2,2018-07-22,534.245849609375,21.5,83.75,187,33,11
RG2018-029,2018,2018-07-26,2018-07-28,3,2018-07-27,230.0136260986328,23.75,86.5,112,17,1
RG2018-030,2018,2018-08-06,2018-08-07,2,2018-08-07,364.5066528320313,19.75,85.5,46,10,3
RG2018-031,2018,2018-08-09,2018-08-09,1,2018-08-09,301.1153869628906,11.25,76.0,53,15,6
RG2018-032,2018,2018-08-12,2018-08-17,6,2018-08-16,348.8282775878906,18.75,80.25,235,74,18
RG2018-033,2018,2018-08-20,2018-08-22,3,2018-08-20,283.40838623046875,17.5,81.0,173,30,1
RG2018-034,2018,2018-08-24,2018-08-24,1,2018-08-24,292.0879211425781,25.75,85.75,71,22,5
RG2018-035,2018,2018-08-27,2018-08-27,1,2018-08-27,178.17547607421875,20.75,81.25,86,21,0
RG2018-036,2018,2018-09-01,2018-09-03,3,2018-09-02,269.548095703125,24.75,78.0,70,15,2
RG2018-037,2018,2018-09-06,2018-09-08,3,2018-09-06,371.0582580566406,20.25,86.25,86,19,10
RG2018-038,2018,2018-09-10,2018-09-10,1,2018-09-10,301.1708679199219,27.0,88.75,64,24,8
RG2018-039,2018,2018-09-21,2018-09-21,1,2018-09-21,245.7316131591797,18.25,81.75,80,26,3
RG2018-040,2018,2018-09-23,2018-09-25,3,2018-09-24,220.0133514404297,32.0,75.25,168,33,3
RG2018-041,2018,2018-10-11,2018-10-12,2,2018-10-12,287.218994140625,20.25,84.25,126,43,9
RG2018-042,2018,2018-11-17,2018-11-17,1,2018-11-17,223.0559539794922,9.75,76.5,16,4,1
